"EXERCICIO";"CODIGO ORGAO SUPERIOR";"NOME ORGAO SUPERIOR";"CODIGO ORGAO SUBORDINADO";"NOME ORGAO SUBORDINADO";"CODIGO UNIDADE ORCAMENTARIA";"NOME UNIDADE ORCAMENTARIA";"CODIGO FUNCAO";"NOME FUNCAO";"CODIGO SUBFUNCAO";"NOME SUBFUNCAO";"CODIGO PROGRAMA ORCAMENTARIO";"NOME PROGRAMA ORCAMENTARIO";"CODIGO ACAO";"NOME ACAO";"CODIGO CATEGORIA ECONOMICA";"NOME CATEGORIA ECONOMICA";"CODIGO GRUPO DE DESPESA";"NOME GRUPO DE DESPESA";"CODIGO ELEMENTO DE DESPESA";"NOME ELEMENTO DE DESPESA";"ORCAMENTO INICIAL (R$)";"ORCAMENTO ATUALIZADO (R$)";"ORCAMENTO REALIZADO (R$)"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA";"74149.50";"74149.50";"57498.44"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"51";"OBRAS E INSTALACOES";"708607.79";"708607.79";"351259.95"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"00";"NAO INFORMADO";"1200748.19";"1.81";"0.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"93";"INDENIZACOES E RESTITUICOES";"23607.05";"23607.05";"18107.05"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"30";"MATERIAL DE CONSUMO";"3618986.64";"3618986.64";"1531113.66"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"52";"EQUIPAMENTOS E MATERIAL PERMANENTE";"3626074.04";"3626074.04";"2549199.32"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"30";"MATERIAL DE CONSUMO";"10480.02";"10480.02";"10480.02"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"36";"OUTROS SERVICOS DE TERCEIROS - PESSOA FISICA";"7253.65";"7253.65";"7253.65"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"00";"NAO INFORMADO";"880292.25";"1314.25";"0.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"47";"OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS";"1404.94";"1404.94";"1404.94"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"52111";"COMANDO DA AERONAUTICA";"05";"DEFESA NACIONAL";"151";"DEFESA AEREA";"2058";"DEFESA NACIONAL";"14T0";"AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX-2";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA";"897249746.00";"897249746.00";"745260950.95"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"52111";"COMANDO DA AERONAUTICA";"05";"DEFESA NACIONAL";"151";"DEFESA AEREA";"2058";"DEFESA NACIONAL";"14T0";"AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX-2";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"52";"EQUIPAMENTOS E MATERIAL PERMANENTE";"196820971.85";"196820971.85";"215695710.38"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"37";"LOCACAO DE MAO-DE-OBRA";"981107.22";"981107.22";"947457.60"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"52111";"COMANDO DA AERONAUTICA";"05";"DEFESA NACIONAL";"151";"DEFESA AEREA";"2058";"DEFESA NACIONAL";"14T0";"AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX-2";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA";"20370397.00";"20370397.00";"25097364.44"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"35";"SERVICOS DE CONSULTORIA";"70824.24";"70824.24";"0.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"00";"NAO INFORMADO";"3100.00";"0.00";"0.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"15";"DIARIAS - MILITAR";"805899.53";"805899.53";"801030.78"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"52111";"COMANDO DA AERONAUTICA";"05";"DEFESA NACIONAL";"151";"DEFESA AEREA";"2058";"DEFESA NACIONAL";"14T0";"AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX-2";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"00";"NAO INFORMADO";"330001937.00";"0.00";"0.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"52111";"COMANDO DA AERONAUTICA";"05";"DEFESA NACIONAL";"151";"DEFESA AEREA";"2058";"DEFESA NACIONAL";"14T0";"AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX-2";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"00";"NAO INFORMADO";"425901937.00";"0.00";"0.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"40";"SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO";"2496508.90";"2496508.90";"16274.16"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA";"880.00";"880.00";"880.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"14";"DIARIAS - CIVIL";"30307.83";"30307.83";"30147.28"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"40";"SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO";"2175105.54";"2175105.54";"1218694.42"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"33";"PASSAGENS E DESPESAS COM LOCOMOCAO";"769060.64";"769060.64";"751598.63"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"52111";"COMANDO DA AERONAUTICA";"05";"DEFESA NACIONAL";"151";"DEFESA AEREA";"2058";"DEFESA NACIONAL";"14T0";"AQUISICAO DE AERONAVES DE CACA E SISTEMAS AFINS - PROJETO FX-2";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"30";"MATERIAL DE CONSUMO";"31692385.15";"31692385.15";"39046630.84"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"32";"MATERIAL; BEM OU SERVICO PARA DISTRIBUICAO GRATUITA";"5000.00";"5000.00";"5000.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52121";"COMANDO DO EXERCITO";"52121";"COMANDO DO EXERCITO";"05";"DEFESA NACIONAL";"153";"DEFESA TERRESTRE";"2058";"DEFESA NACIONAL";"20XJ";"DESENVOLVIMENTO TECNOLOGICO DO EXERCITO";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"39";"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA";"6158661.41";"6158661.41";"1861913.40"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52111";"COMANDO DA AERONAUTICA";"52111";"COMANDO DA AERONAUTICA";"05";"DEFESA NACIONAL";"482";"HABITACAO URBANA";"2108";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA DEFESA";"15F1";"DISPONIBILIZACAO DE PROPRIOS NACIONAIS RESIDENCIAIS PARA OS COMANDOS MILITARES";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"00";"NAO INFORMADO";"19989126.00";"0.00";"0.00"
"2018/11";"52000";"MINISTERIO DA DEFESA";"52131";"COMANDO DA MARINHA";"52131";"COMANDO DA MARINHA";"05";"DEFESA NACIONAL";"152";"DEFESA NAVAL";"2058";"DEFESA NACIONAL";"157N";"ADEQUACAO DA BRIGADA ANFIBIA DE FUZILEIROS NAVAIS - PROBANF";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"51";"OBRAS E INSTALACOES";"2810020.00";"2810020.00";"2526012.97"
