"EXERCICIO";"CODIGO ORGAO SUPERIOR";"NOME ORGAO SUPERIOR";"CODIGO ORGAO SUBORDINADO";"NOME ORGAO SUBORDINADO";"CODIGO UNIDADE ORCAMENTARIA";"NOME UNIDADE ORCAMENTARIA";"CODIGO FUNCAO";"NOME FUNCAO";"CODIGO SUBFUNCAO";"NOME SUBFUNCAO";"CODIGO PROGRAMA ORCAMENTARIO";"NOME PROGRAMA ORCAMENTARIO";"CODIGO ACAO";"NOME ACAO";"CODIGO CATEGORIA ECONOMICA";"NOME CATEGORIA ECONOMICA";"CODIGO GRUPO DE DESPESA";"NOME GRUPO DE DESPESA";"CODIGO ELEMENTO DE DESPESA";"NOME ELEMENTO DE DESPESA";"ORCAMENTO INICIAL (R$)";"ORCAMENTO ATUALIZADO (R$)";"ORCAMENTO REALIZADO (R$)"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"25205";"FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"ADMINISTRACAO";"121";"PLANEJAMENTO E ORCAMENTO";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"15MV";"ATUALIZACAO DA COBERTURA E DA PRODUCAO ESTATISTICA E GEOCIENTIFICA";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"47";"OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS";"3009,41";"3009,41";"2809,41"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"25205";"FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"ADMINISTRACAO";"121";"PLANEJAMENTO E ORCAMENTO";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"15MV";"ATUALIZACAO DA COBERTURA E DA PRODUCAO ESTATISTICA E GEOCIENTIFICA";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"40";"SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO";"766341,00";"766341,00";"728085,00"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"25205";"FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"ADMINISTRACAO";"121";"PLANEJAMENTO E ORCAMENTO";"2038";"DEMOCRACIA E APERFEICOAMENTO DA GESTAO PUBLICA";"15MV";"ATUALIZACAO DA COBERTURA E DA PRODUCAO ESTATISTICA E GEOCIENTIFICA";"4";"DESPESAS DE CAPITAL";"4";"INVESTIMENTOS";"52";"EQUIPAMENTOS E MATERIAL PERMANENTE";"110134,96";"110134,96";"0,00"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"30203";"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA";"28202";"INSTIT.NAC. DE METROL. QUALID. E TECNOLOGIA";"22";"INDUSTRIA";"122";"ADMINISTRACAO GERAL";"2121";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA INDUSTRIA,";"20TP";"ATIVOS CIVIS DA UNIAO";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"00";"NAO INFORMADO";"1935216,42";"2214783,58";"0,00"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"25205";"FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"ADMINISTRACAO";"182";"DEFESA CIVIL";"2040";"GESTAO DE RISCOS E DE DESASTRES";"15DN";"BASES CARTOGRAFICAS PARA O PLANO NACIONAL DE GESTAO DE RISCOS E RESPOSTAS A DESASTRES";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"30";"MATERIAL DE CONSUMO";"61883,39";"61883,39";"50553,72"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"25205";"FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"ADMINISTRACAO";"182";"DEFESA CIVIL";"2040";"GESTAO DE RISCOS E DE DESASTRES";"15DN";"BASES CARTOGRAFICAS PARA O PLANO NACIONAL DE GESTAO DE RISCOS E RESPOSTAS A DESASTRES";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"47";"OBRIGACOES TRIBUTARIAS E CONTRIBUTIVAS";"40,00";"40,00";"0,00"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"25205";"FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"ADMINISTRACAO";"182";"DEFESA CIVIL";"2040";"GESTAO DE RISCOS E DE DESASTRES";"15DN";"BASES CARTOGRAFICAS PARA O PLANO NACIONAL DE GESTAO DE RISCOS E RESPOSTAS A DESASTRES";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"93";"INDENIZACOES E RESTITUICOES";"2240,00";"2240,00";"1239,06"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"37202";"INSTITUTO NACIONAL DO SEGURO SOCIAL";"55201";"INSTITUTO NACIONAL DO SEGURO SOCIAL - INSS";"09";"PREVIDENCIA SOCIAL";"665";"NORMALIZACAO E QUALIDADE";"2061";"PREVIDENCIA SOCIAL";"2562";"AUDITORIA PREVENTIVA E CORRETIVA EM ROTINAS, PROCEDIMENTOS E PROCESSOS";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"00";"NAO INFORMADO";"2043932,58";"1071520,58";"0,00"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"20603";"SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS";"28233";"SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS";"22";"INDUSTRIA";"122";"ADMINISTRACAO GERAL";"2121";"PROGRAMA DE GESTAO E MANUTENCAO DO MINISTERIO DA INDUSTRIA,";"20TP";"ATIVOS CIVIS DA UNIAO";"3";"DESPESAS CORRENTES";"1";"PESSOAL E ENCARGOS SOCIAIS";"91";"SENTENCAS JUDICIAIS";"73437,23";"73437,23";"67677,84"
"2018/03";"25000";"MINISTERIO DA ECONOMIA";"25205";"FUNDACAO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATISTICA";"47205";"FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA";"04";"ADMINISTRACAO";"182";"DEFESA CIVIL";"2040";"GESTAO DE RISCOS E DE DESASTRES";"15DN";"BASES CARTOGRAFICAS PARA O PLANO NACIONAL DE GESTAO DE RISCOS E RESPOSTAS A DESASTRES";"3";"DESPESAS CORRENTES";"3";"OUTRAS DESPESAS CORRENTES";"40";"SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO";"120,00";"120,00";"120,00"
